discipline,discipline_code
Judo,JUD
Swimming,SWM
Judo,JUD
Wheelchair Basketball,WBK
Wheelchair Basketball,WBK
Sitting Volleyball,VBS
Wheelchair Basketball,WBK
Powerlifting,PWL
Powerlifting,PWL
Judo,JUD
Sitting Volleyball,VBS
Athletics,ATH
Powerlifting,PWL
Swimming,SWM
Wheelchair Basketball,WBK
Canoe Sprint,CSP
Judo,JUD
Athletics,ATH
Powerlifting,PWL
Wheelchair Fencing,WFE
Taekwondo,TKW
Athletics,ATH
Athletics,ATH
Cycling Road,CRD
Taekwondo,TKW
Sitting Volleyball,VBS
Sitting Volleyball,VBS
Athletics,ATH
Cycling Road,CRD
Cycling Track,CTR
Swimming,SWM
Athletics,ATH
Table Tennis,TTE
Powerlifting,PWL
Taekwondo,TKW
Wheelchair Basketball,WBK
Football 5-a-side,FB5
Powerlifting,PWL
Swimming,SWM
Triathlon,TRI
Athletics,ATH
Football 5-a-side,FB5
Athletics,ATH
Athletics,ATH
Swimming,SWM
Athletics,ATH
Cycling Road,CRD
Equestrian,EQU
Athletics,ATH
Powerlifting,PWL
Canoe Sprint,CSP
Athletics,ATH
Boccia,BOC
Athletics,ATH
Cycling Road,CRD
Athletics,ATH
Athletics,ATH
Swimming,SWM
Athletics,ATH
Athletics,ATH
Football 5-a-side,FB5
Athletics,ATH
Table Tennis,TTE
Table Tennis,TTE
Cycling Road,CRD
Cycling Track,CTR
Wheelchair Basketball,WBK
Goalball,GBL
Powerlifting,PWL
Powerlifting,PWL
Archery,ARC
Swimming,SWM
Football 5-a-side,FB5
Football 5-a-side,FB5
Athletics,ATH
Athletics,ATH
Athletics,ATH
Wheelchair Basketball,WBK
Sitting Volleyball,VBS
Shooting,SHO
Table Tennis,TTE
Athletics,ATH
Taekwondo,TKW
Athletics,ATH
Wheelchair Basketball,WBK
Wheelchair Fencing,WFE
Wheelchair Basketball,WBK
Archery,ARC
Athletics,ATH
Swimming,SWM
Canoe Sprint,CSP
Athletics,ATH
Powerlifting,PWL
Football 5-a-side,FB5
Shooting,SHO
Shooting,SHO
Cycling Road,CRD
Sitting Volleyball,VBS
Wheelchair Basketball,WBK
Rowing,ROW
Swimming,SWM
Swimming,SWM
Powerlifting,PWL
Wheelchair Tennis,WTE
Powerlifting,PWL
Table Tennis,TTE
Wheelchair Basketball,WBK
Cycling Road,CRD
Wheelchair Basketball,WBK
Athletics,ATH
Powerlifting,PWL
Athletics,ATH
Powerlifting,PWL
Powerlifting,PWL
Wheelchair Fencing,WFE
Athletics,ATH
Powerlifting,PWL
Sitting Volleyball,VBS
Sitting Volleyball,VBS
Judo,JUD
Athletics,ATH
Table Tennis,TTE
Archery,ARC
Athletics,ATH
Sitting Volleyball,VBS
Athletics,ATH
Athletics,ATH
Athletics,ATH
Powerlifting,PWL
Goalball,GBL
Athletics,ATH
Athletics,ATH
Cycling Track,CTR
Boccia,BOC
Cycling Road,CRD
Wheelchair Fencing,WFE
Powerlifting,PWL
Cycling Road,CRD
Shooting,SHO
Athletics,ATH
Shooting,SHO
Swimming,SWM
Athletics,ATH
Table Tennis,TTE
Athletics,ATH
Shooting,SHO
Wheelchair Fencing,WFE
Athletics,ATH
Swimming,SWM
Wheelchair Basketball,WBK
Athletics,ATH
Athletics,ATH
Athletics,ATH
Athletics,ATH
Archery,ARC
Athletics,ATH
Table Tennis,TTE
Goalball,GBL
Goalball,GBL
Football 5-a-side,FB5
Archery,ARC
Wheelchair Basketball,WBK
Athletics,ATH
Powerlifting,PWL
Athletics,ATH
Athletics,ATH
Judo,JUD
Table Tennis,TTE
Athletics,ATH
Sitting Volleyball,VBS
Athletics,ATH
Wheelchair Basketball,WBK
Athletics,ATH
Goalball,GBL
Swimming,SWM
Swimming,SWM
Goalball,GBL
Athletics,ATH
Triathlon,TRI
Athletics,ATH
Wheelchair Basketball,WBK
Archery,ARC
Table Tennis,TTE
Boccia,BOC
Table Tennis,TTE
Swimming,SWM
Athletics,ATH
Canoe Sprint,CSP
Boccia,BOC
Athletics,ATH
Archery,ARC
Athletics,ATH
Athletics,ATH
Athletics,ATH
Wheelchair Tennis,WTE
Powerlifting,PWL
Cycling Road,CRD
Powerlifting,PWL
Cycling Road,CRD
Wheelchair Rugby,WRU
Goalball,GBL
Athletics,ATH
Swimming,SWM
Boccia,BOC
Wheelchair Basketball,WBK
Wheelchair Tennis,WTE
Sitting Volleyball,VBS
Judo,JUD
Judo,JUD
Athletics,ATH
Sitting Volleyball,VBS
Judo,JUD
Athletics,ATH
Powerlifting,PWL
Athletics,ATH
Goalball,GBL
Football 5-a-side,FB5
Sitting Volleyball,VBS
Athletics,ATH
Rowing,ROW
Table Tennis,TTE
Rowing,ROW
Athletics,ATH
Athletics,ATH
Archery,ARC
Swimming,SWM
Wheelchair Basketball,WBK
Taekwondo,TKW
Athletics,ATH
Table Tennis,TTE
Table Tennis,TTE
Archery,ARC
Badminton,BDM
Wheelchair Basketball,WBK
Swimming,SWM
Athletics,ATH
Powerlifting,PWL
Swimming,SWM
Cycling Track,CTR
Athletics,ATH
Table Tennis,TTE
Athletics,ATH
Cycling Road,CRD
Cycling Track,CTR
Taekwondo,TKW
Archery,ARC
Canoe Sprint,CSP
Athletics,ATH
Athletics,ATH
Athletics,ATH
Powerlifting,PWL
Shooting,SHO
Athletics,ATH
Athletics,ATH
Archery,ARC
Swimming,SWM
Wheelchair Basketball,WBK
Swimming,SWM
Athletics,ATH
Judo,JUD
Wheelchair Tennis,WTE
Athletics,ATH
Wheelchair Basketball,WBK
Athletics,ATH
Wheelchair Basketball,WBK
Swimming,SWM
Goalball,GBL
Rowing,ROW
Canoe Sprint,CSP
Taekwondo,TKW
Athletics,ATH
Athletics,ATH
Sitting Volleyball,VBS
Powerlifting,PWL
Shooting,SHO
Shooting,SHO
Powerlifting,PWL
Cycling Road,CRD
Wheelchair Basketball,WBK
Powerlifting,PWL
Wheelchair Basketball,WBK
Table Tennis,TTE
Swimming,SWM
Wheelchair Basketball,WBK
Badminton,BDM
Wheelchair Basketball,WBK
Athletics,ATH
Shooting,SHO
Judo,JUD
Sitting Volleyball,VBS
Wheelchair Tennis,WTE
Shooting,SHO
Athletics,ATH
Table Tennis,TTE
Athletics,ATH
Athletics,ATH
Triathlon,TRI
Equestrian,EQU
Table Tennis,TTE
Powerlifting,PWL
Boccia,BOC
Athletics,ATH
Athletics,ATH
Goalball,GBL
Cycling Track,CTR
Athletics,ATH
Table Tennis,TTE
Athletics,ATH
Swimming,SWM
Shooting,SHO
Cycling Road,CRD
Cycling Track,CTR
Athletics,ATH
Football 5-a-side,FB5
Football 5-a-side,FB5
Athletics,ATH
Athletics,ATH
Archery,ARC
Triathlon,TRI
Canoe Sprint,CSP
Athletics,ATH
Rowing,ROW
Powerlifting,PWL
Shooting,SHO
Judo,JUD
Athletics,ATH
Sitting Volleyball,VBS
Swimming,SWM
Table Tennis,TTE
Wheelchair Tennis,WTE
Swimming,SWM
Athletics,ATH
Athletics,ATH
Athletics,ATH
Swimming,SWM
Wheelchair Tennis,WTE
Athletics,ATH
Football 5-a-side,FB5
Wheelchair Rugby,WRU
Equestrian,EQU
Shooting,SHO
Swimming,SWM
Athletics,ATH
Judo,JUD
Swimming,SWM
Cycling Road,CRD
Cycling Track,CTR
