medal_type,medal_id,medal_date,athlete_short_name,athlete_name,,event,country,country_code,discipline,discipline_code
Gold Medal,1,8/25/2021 0:00,BANGMA T,BANGMA Tristan,M,Men's B 4000m Individual Pursuit,Netherlands,NED,Cycling Track,CTR
Silver Medal,2,8/26/2021 0:00,BATE S,BATE Stephen,M,Men's B 4000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,8/27/2021 0:00,POLAK M,POLAK Marcin,M,Men's B 4000m Individual Pursuit,Poland,POL,Cycling Track,CTR
Gold Medal,1,8/28/2021 0:00,GRECO P,GRECO Paige,W,Women's C1-3 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,8/29/2021 0:00,WANG X,WANG Xiaomei,W,Women's C1-3 3000m Individual Pursuit,People's Republic of China,CHN,Cycling Track,CTR
Bronze Medal,3,8/30/2021 0:00,SCHINDLER D,SCHINDLER Denise,W,Women's C1-3 3000m Individual Pursuit,Germany,GER,Cycling Track,CTR
Gold Medal,1,8/31/2021 0:00,PETRICOLA E,PETRICOLA Emily,W,Women's C4 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,9/1/2021 0:00,MORELLI S,MORELLI Shawn,W,Women's C4 3000m Individual Pursuit,United States of America,USA,Cycling Track,CTR
Bronze Medal,3,9/2/2021 0:00,SHAW K,SHAW Keely,W,Women's C4 3000m Individual Pursuit,Canada,CAN,Cycling Track,CTR
Gold Medal,1,9/3/2021 0:00,STOREY S,DAME STOREY Sarah,W,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Silver Medal,2,9/4/2021 0:00,LANE-WRIGHT C,LANE-WRIGHT Crystal,W,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,9/5/2021 0:00,PATOUILLET M,PATOUILLET Marie,W,Women's C5 3000m Individual Pursuit,France,FRA,Cycling Track,CTR
Gold Medal,1,9/6/2021 0:00,SHALABI I,SHALABI Iyad,M,Men's 100m Backstroke - S1,Israel,ISR,Swimming,SWM
Silver Medal,2,9/7/2021 0:00,KOL A,KOL Anton,M,Men's 100m Backstroke - S1,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,9/8/2021 0:00,BETTELLA F,BETTELLA Francesco,M,Men's 100m Backstroke - S1,Italy,ITA,Swimming,SWM
Gold Medal,1,9/9/2021 0:00,ABARZA A,ABARZA Alberto,M,Men's 100m Backstroke - S2,Chile,CHI,Swimming,SWM
Silver Medal,2,9/10/2021 0:00,dos SANTOS ARAUJO,dos SANTOS ARAUJO Gabriel Geraldo,M,Men's 100m Backstroke - S2,Brazil,BRA,Swimming,SWM
Bronze Medal,3,9/11/2021 0:00,DANILENKO V,DANILENKO Vladimir,M,Men's 100m Backstroke - S2,RPC,RPC,Swimming,SWM
Gold Medal,1,9/12/2021 0:00,BOKI I,BOKI Ihar,M,Men's 100m Butterfly - S13,Belarus,BLR,Swimming,SWM
Silver Medal,2,9/13/2021 0:00,VIRCHENKO O,VIRCHENKO Oleksii,M,Men's 100m Butterfly - S13,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,9/14/2021 0:00,ASLANOV I,ASLANOV Islam,M,Men's 100m Butterfly - S13,Uzbekistan,UZB,Swimming,SWM
Gold Medal,1,9/15/2021 0:00,BANDEIRA G,BANDEIRA Gabriel,M,Men's 100m Butterfly - S14,Brazil,BRA,Swimming,SWM
Silver Medal,2,9/16/2021 0:00,DUNN R,DUNN Reece,M,Men's 100m Butterfly - S14,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,9/17/2021 0:00,HANCE BJ,HANCE Benjamin James,M,Men's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,9/18/2021 0:00,POPHAM B,POPHAM Ben,M,Men's 100m Freestyle - S8,Australia,AUS,Swimming,SWM
Silver Medal,2,9/19/2021 0:00,NIKOLAEV A,NIKOLAEV Andrei,M,Men's 100m Freestyle - S8,RPC,RPC,Swimming,SWM
Bronze Medal,3,9/20/2021 0:00,MICHALENTZAKIS D,MICHALENTZAKIS Dimosthenis,M,Men's 100m Freestyle - S8,Greece,GRE,Swimming,SWM
Gold Medal,1,9/21/2021 0:00,BOCCIARDO F,BOCCIARDO Francesco,M,Men's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Silver Medal,2,9/22/2021 0:00,PONCE BERTRAN A,PONCE BERTRAN Antoni,M,Men's 200m Freestyle - S5,Spain,ESP,Swimming,SWM
Bronze Medal,3,9/23/2021 0:00,de FARIA DIAS D,de FARIA DIAS Daniel,M,Men's 200m Freestyle - S5,Brazil,BRA,Swimming,SWM
Gold Medal,1,9/24/2021 0:00,MARTIN W,MARTIN William,M,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Silver Medal,2,9/25/2021 0:00,DIDIER U,DIDIER Ugo,M,Men's 400m Freestyle - S9,France,FRA,Swimming,SWM
Bronze Medal,3,9/26/2021 0:00,TUCKFIELD A,TUCKFIELD Alexander,M,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Gold Medal,1,9/27/2021 0:00,ZHDANOV R,ZHDANOV Roman,M,Men's 50m Breaststroke - SB3,RPC,RPC,Swimming,SWM
Silver Medal,2,9/28/2021 0:00,LUQUE M,LUQUE Miguel,M,Men's 50m Breaststroke - SB3,Spain,ESP,Swimming,SWM
Bronze Medal,3,9/29/2021 0:00,SUZUKI T,SUZUKI Takayuki,M,Men's 50m Breaststroke - SB3,Japan,JPN,Swimming,SWM
Gold Medal,1,9/30/2021 0:00,CROTHERS R,CROTHERS Rowan,M,Men's 50m Freestyle - S10,Australia,AUS,Swimming,SWM
Silver Medal,2,10/1/2021 0:00,KRYPAK M,KRYPAK Maksym,M,Men's 50m Freestyle - S10,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,10/2/2021 0:00,MELO RODRIGUES PA,MELO RODRIGUES Phelipe Andrews,M,Men's 50m Freestyle - S10,Brazil,BRA,Swimming,SWM
Gold Medal,1,10/3/2021 0:00,YIP PX,YIP Pin Xiu,W,Women's 100m Backstroke - S2,Singapore,SGP,Swimming,SWM
Silver Medal,2,10/4/2021 0:00,YAMADA M,YAMADA Miyuki,W,Women's 100m Backstroke - S2,Japan,JPN,Swimming,SWM
Bronze Medal,3,10/5/2021 0:00,RAMIREZ F,RAMIREZ Fabiola,W,Women's 100m Backstroke - S2,Mexico,MEX,Swimming,SWM
Gold Medal,1,10/6/2021 0:00,GILLI C,GILLI Carlotta,W,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Silver Medal,2,10/7/2021 0:00,BERRA A,BERRA Alessia,W,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Bronze Medal,3,10/8/2021 0:00,PIKALOVA D,PIKALOVA Daria,W,Women's 100m Butterfly - S13,RPC,RPC,Swimming,SWM
Gold Medal,1,10/9/2021 0:00,SHABALINA V,SHABALINA Valeriia,W,Women's 100m Butterfly - S14,RPC,RPC,Swimming,SWM
Silver Medal,2,10/10/2021 0:00,LEONHARDT P,LEONHARDT Paige,W,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Bronze Medal,3,10/11/2021 0:00,STORM R,STORM Ruby,W,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,10/12/2021 0:00,ZHANG L,ZHANG Li,W,Women's 200m Freestyle - S5,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,10/13/2021 0:00,KEARNEY T,KEARNEY Tully,W,Women's 200m Freestyle - S5,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,10/14/2021 0:00,BOGGIONI M,BOGGIONI Monica,W,Women's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Gold Medal,1,10/15/2021 0:00,PATTERSON L,PATTERSON Lakeisha,W,Women's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Silver Medal,2,10/16/2021 0:00,KONKOLY Z,KONKOLY Zsofia,W,Women's 400m Freestyle - S9,Hungary,HUN,Swimming,SWM
Bronze Medal,3,10/17/2021 0:00,SHAW T,SHAW Toni,W,Women's 400m Freestyle - S9,Great Britain,GBR,Swimming,SWM
Gold Medal,1,10/18/2021 0:00,GONTAR A,GONTAR Anastasiia,W,Women's 50m Freestyle - S10,RPC,RPC,Swimming,SWM
Silver Medal,2,10/19/2021 0:00,ZIJDERVELD C,ZIJDERVELD Chantalle,W,Women's 50m Freestyle - S10,Netherlands,NED,Swimming,SWM
Bronze Medal,3,10/20/2021 0:00,RIVARD A,RIVARD Aurelie,W,Women's 50m Freestyle - S10,Canada,CAN,Swimming,SWM
Gold Medal,1,10/21/2021 0:00,MERESHKO Y,MERESHKO Yelyzaveta,W,Women's 50m Freestyle - S6,Ukraine,UKR,Swimming,SWM
Silver Medal,2,10/22/2021 0:00,MARKS E,MARKS Elizabeth,W,Women's 50m Freestyle - S6,United States of America,USA,Swimming,SWM
Bronze Medal,3,10/23/2021 0:00,HONTAR A,HONTAR Anna,W,Women's 50m Freestyle - S6,Ukraine,UKR,Swimming,SWM
Gold Medal,1,10/24/2021 0:00,LI H,LI Hao,M,Men's Sabre Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,10/25/2021 0:00,MANKO A,MANKO Artem,M,Men's Sabre Individual - Category A,Ukraine,UKR,Wheelchair Fencing,WFE
Bronze Medal,3,10/26/2021 0:00,TIAN J,TIAN Jianquan,M,Men's Sabre Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,10/27/2021 0:00,FENG Y,FENG Yanke,M,Men's Sabre Individual - Category B,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,10/28/2021 0:00,CASTRO A,CASTRO Adrian,M,Men's Sabre Individual - Category B,Poland,POL,Wheelchair Fencing,WFE
Bronze Medal,3,10/29/2021 0:00,TRIANTAFYLLOU P,TRIANTAFYLLOU Panagiotis,M,Men's Sabre Individual - Category B,Greece,GRE,Wheelchair Fencing,WFE
